Ticker|Name|Exchange|Country
^NQEMEA2000LMEUR|NASDAQ EMEA Inds Large Mid Cap |NIM|USA
^NQCINIER|NASDAQ Commodity Nickel Index E|NIM|USA
ESEMN.NX|ESI EXC EUR WM NR|ENX|Europe
^NQUSB1357JPYN|NQ US Bnchmk Specialty Chemical|NIM|USA
^NQEURO4000LMJPYT|NASDAQ Eurozone Health Care Lg |NIM|USA
^DJAUS|Dow Jones Australia Small-Cap I|DJI|USA
WIKOR3780.L|FTSE KOR-TOBACCO|FSI|UK
Q3K.Z|STXNDTMT&L; EURNR|ZRH|Switzerland
INUTI.NX|LYXOR UTILITIES|ENX|Europe
22551356.DE|INAVISHULTRAUCITJPY|GER|Germany
4N6H.DE|DAXSUB ALL MORT K|GER|Germany
^DJUSTS|Dow Jones U.S. Transportation S|DJI|USA
I:BCOMAVT|Dow Jones-UBS Commodity Agricul|SNP|USA
^NQGB2000LMJPYT|NASDAQ UK Inds Large Mid Cap JP|NIM|USA
WIXEBS8570.L|FTSE XEB - LIFE INS|FSI|UK
SBFR4Y.SW|SBI FOR BBB Y|EBS|Austria
25812055.DE|INAV EST BK OPTS GB|GER|Germany
RNEITUR.FGI|FTSE E/N EMTRI TURK|FGI|UK
X2EB.DE|INAVDBMSCI NA USD|GER|Germany
FN43.FGI|FTSE NAREIT MRTG|FGI|UK
SXAOMDGU.Z|STXOPTMXDR USD GR|ZRH|Switzerland
^NQDMXUSJPY|NASDAQ DM Ex United States JPY |NIM|USA
^NQEMLCJPY|NASDAQ Emerging Large Cap JPY I|NIM|USA
^NQUSM2753EURN|NQ US Md Cap Comml Vehicles & T|NIM|USA
^AXTWO|NYSE CURRENT 2 YEAR US TREASURY|NYS|USA
XEFN.DE|DAX+ MVG EUR P|GER|Germany
^CTLNER1Y|UBS Bloomberg CMCI Components N|WCB|USA
25010885.DE|VDAX OKTOBER 2014|GER|Germany
CXKH.DE|DAXSEC. TECHNOLOGY PR|GER|Germany
BEBEP.BR|BEL BEVERAGES|BRU|Belgium
4N77.DE|DAXSUB ALL TRAN K|GER|Germany
WIPACS.FGI|FTSE WORLD ASIA PAC|FGI|UK
X69.L|FTSE IN TOT NON-FIN|FSI|UK
JXQ5.DE|XPECT DE C.1950-1954M|GER|Germany
^NQIL9000CADT|NASDAQ Israel Tech CAD TR Index|NIM|USA
IT0500.L|FTSE Italia All-Share Oil & Gas|LSE|UK
FRFIN.PA|CAC FINANCIALS|PAR|France
